seed_key,manufacturer_seed_key,mount_type_seed_key,counterweight_required,drive_type,goto_capable,model_name,mount_weight_kg,notes,payload_capacity_kg,periodic_error_arcsec,source_url,worm_period_seconds
mount.vixen.sxp2,manufacturer.vixen,mount_type.german_eq,1,Worm gear,1,Sphinx SXP2,7,Higher-tier Vixen SX-series belt-driven imaging GEM,17,,,480
# --- Explore Scientific (PMC-Eight) ---
mount.explore_scientific.iexos100_2,manufacturer.explore_scientific,mount_type.german_eq,1,Worm gear,1,iEXOS-100-2 PMC-Eight,4.3,Entry-level WiFi/Bluetooth capable imaging mount,8.6,,,
mount.explore_scientific.exos2_pmc8,manufacturer.explore_scientific,mount_type.german_eq,1,Worm gear,1,EXOS-2 PMC-Eight,9.5,Mid-range WiFi/Bluetooth capable imaging mount,14,,,
# --- Astro-Physics (premium, encoder-suppressed worm) ---
mount.astro_physics.mach2gto,manufacturer.astro_physics,mount_type.german_eq,1,Worm gear,1,Mach2GTO,18,Premium American imaging mount with Renishaw absolute encoders,34,,,
mount.astro_physics.ap1100gto,manufacturer.astro_physics,mount_type.german_eq,1,Worm gear,1,1100GTO,24.5,Observatory-class premium American imaging mount,45,,,
# --- 10Micron (premium, absolute encoders) ---
mount.10micron.gm1000_hps_ep,manufacturer.10micron,mount_type.german_eq,1,Worm gear,1,GM1000 HPS EP,19.5,Italian absolute-encoder mount with enhanced payload (2025),30,,,
mount.10micron.gm2000_hps_ii,manufacturer.10micron,mount_type.german_eq,1,Worm gear,1,GM2000 HPS II Combi,33,Observatory-class Italian absolute-encoder mount with splittable design,50,,,
# --- Software Bisque Paramount (premium) ---
mount.software_bisque.myt,manufacturer.software_bisque,mount_type.german_eq,1,Worm gear,1,Paramount MYT,16,Portable Paramount Series 6 imaging mount,32,,,
mount.software_bisque.mx_series6,manufacturer.software_bisque,mount_type.german_eq,1,Worm gear,1,Paramount MX (Series 6),24,Mid-range Paramount Series 6 imaging mount,56,,,
mount.software_bisque.me_ii,manufacturer.software_bisque,mount_type.german_eq,1,Worm gear,1,Paramount ME II,38,Observatory-class Paramount imaging mount,109,,,
# --- Planewave (premium direct-drive alt-az) ---
mount.planewave.l350,manufacturer.planewave,mount_type.alt_az,0,Direct drive,1,L-350,,Direct-drive alt-az mount (EQ wedge optional) for CDK14 and smaller,45,,,
mount.planewave.l500,manufacturer.planewave,mount_type.alt_az,0,Direct drive,1,L-500,,Direct-drive alt-az mount (EQ wedge optional) for CDK17/20,90,,,
# --- Move Shoot Move (camera star tracker) ---
mount.msm.nomad,manufacturer.msm,mount_type.star_tracker,0,,0,Nomad,0.43,Compact camera star tracker with 3-position switch (no GoTo),3.5,,,
